,index,Num,Fecha,Longitud,Latitud,Polaridad,Magnitud,Corriente
27547,27547,27547,2018-04-25 00:49:03.690,-73.7024,6.4968,-1,10.3,-10.3
27548,27548,27548,2018-04-25 00:49:03.707,-73.701,6.488,-1,54.2,-54.2
27549,27549,27549,2018-04-25 00:49:03.737,-73.703,6.4882,-1,37.7,-37.7
27550,27550,27550,2018-04-25 00:49:03.740,-73.7071,6.4964,-1,15.1,-15.1
27551,27551,27551,2018-04-25 00:49:03.773,-73.7072,6.4862,-1,40.6,-40.6
27552,27552,27552,2018-04-25 00:49:03.777,-73.7032,6.4876,-1,14.4,-14.4
27553,27553,27553,2018-04-25 00:49:04.110,-73.6988,6.4888,-1,29.6,-29.6
27554,27554,27554,2018-04-25 00:49:04.517,-73.6993,6.4917,-1,32.8,-32.8
27555,27555,27555,2018-04-25 00:49:04.520,-73.7183,6.5347,1,5.7,5.7
27556,27556,27556,2018-04-25 00:49:04.573,-73.698,6.4935,-1,7.2,-7.2
27557,27557,27557,2018-04-25 00:49:04.823,-73.7019,6.4926,-1,5.8,-5.8
27558,27558,27558,2018-04-25 00:49:07.227,-73.814,6.4742,-1,6.2,-6.2
27559,27559,27559,2018-04-25 00:49:08.377,-73.6468,6.6156,-1,4.4,-4.4
27560,27560,27560,2018-04-25 00:49:08.817,-73.6488,6.6001,1,5.6,5.6
27561,27561,27561,2018-04-25 00:49:08.900,-73.6833,6.5757,-1,5.1,-5.1
27562,27562,27562,2018-04-25 00:49:14.757,-73.7131,6.5719,-1,5.4,-5.4
27563,27563,27563,2018-04-25 00:49:15.727,-73.64,6.5991,-1,32.0,-32.0
27564,27564,27564,2018-04-25 00:49:15.813,-73.6352,6.5914,-1,18.8,-18.8
27565,27565,27565,2018-04-25 00:49:15.837,-74.1602,6.3555,-1,13.5,-13.5
27566,27566,27566,2018-04-25 00:49:15.880,-73.6362,6.5904,-1,18.0,-18.0
27567,27567,27567,2018-04-25 00:49:15.950,-73.6342,6.5907,-1,15.7,-15.7
27568,27568,27568,2018-04-25 00:49:16.007,-73.6362,6.5908,-1,10.6,-10.6
27569,27569,27569,2018-04-25 00:49:16.090,-73.636,6.5899,-1,13.2,-13.2
27570,27570,27570,2018-04-25 00:49:16.473,-73.6309,6.5909,-1,7.8,-7.8
27571,27571,27571,2018-04-25 00:49:16.553,-73.6388,6.5892,-1,10.9,-10.9
27572,27572,27572,2018-04-25 00:49:16.570,-73.7433,6.5476,-1,6.2,-6.2
27573,27573,27573,2018-04-25 00:49:16.687,-73.7461,6.5242,-1,4.4,-4.4
27574,27574,27574,2018-04-25 00:49:18.987,-73.9378,6.4135,1,6.3,6.3
27575,27575,27575,2018-04-25 00:49:19.313,-73.6974,6.5372,-1,10.5,-10.5
27576,27576,27576,2018-04-25 00:49:19.440,-73.6568,6.5627,1,6.4,6.4
27577,27577,27577,2018-04-25 00:49:19.460,-73.9268,6.4184,1,10.1,10.1
27578,27578,27578,2018-04-25 00:49:22.760,-73.6687,6.5859,-1,8.9,-8.9
27579,27579,27579,2018-04-25 00:49:22.940,-73.6577,6.581,1,7.7,7.7
27580,27580,27580,2018-04-25 00:49:24.547,-73.7396,6.5456,-1,5.0,-5.0
27581,27581,27581,2018-04-25 00:49:24.650,-73.7274,6.475,1,6.8,6.8
27582,27582,27582,2018-04-25 00:49:27.770,-73.7608,6.5118,1,8.4,8.4
27583,27583,27583,2018-04-25 00:49:27.960,-73.6605,6.6092,-1,9.3,-9.3
27584,27584,27584,2018-04-25 00:49:28.113,-73.658,6.6134,-1,9.5,-9.5
27585,27585,27585,2018-04-25 00:49:33.640,-73.7248,6.569,-1,8.6,-8.6
27586,27586,27586,2018-04-25 00:49:36.260,-73.7078,6.5097,-1,6.6,-6.6
27587,27587,27587,2018-04-25 00:49:36.680,-73.6255,6.6062,1,7.4,7.4
27588,27588,27588,2018-04-25 00:49:39.670,-73.7044,6.6162,1,7.8,7.8
27589,27589,27589,2018-04-25 00:49:41.737,-73.7935,6.4738,-1,5.0,-5.0
27590,27590,27590,2018-04-25 00:49:41.760,-73.7903,6.4719,-1,9.9,-9.9
27591,27591,27591,2018-04-25 00:49:42.443,-73.6442,6.5748,-1,4.4,-4.4
27592,27592,27592,2018-04-25 00:49:42.917,-73.6324,6.5736,1,15.2,15.2
27593,27593,27593,2018-04-25 00:49:46.100,-73.7157,6.4998,-1,6.5,-6.5
27594,27594,27594,2018-04-25 00:49:46.677,-74.2086,6.4975,-1,8.4,-8.4
27595,27595,27595,2018-04-25 00:49:47.557,-74.2288,6.4562,-1,47.8,-47.8
27596,27596,27596,2018-04-25 00:49:47.583,-74.228,6.4575,-1,15.8,-15.8
27597,27597,27597,2018-04-25 00:49:47.690,-74.2285,6.4577,-1,14.0,-14.0
27598,27598,27598,2018-04-25 00:49:47.707,-74.2273,6.4582,-1,11.0,-11.0
27599,27599,27599,2018-04-25 00:49:48.050,-74.0113,6.365,1,7.0,7.0
27600,27600,27600,2018-04-25 00:49:48.060,-74.0072,6.3669,1,4.1,4.1
27601,27601,27601,2018-04-25 00:49:49.817,-73.7379,6.4989,-1,9.9,-9.9
27602,27602,27602,2018-04-25 00:49:49.950,-73.7376,6.5195,-1,11.3,-11.3
27603,27603,27603,2018-04-25 00:49:50.750,-73.7343,6.5011,-1,42.0,-42.0
27604,27604,27604,2018-04-25 00:49:50.770,-73.7372,6.4992,1,9.0,9.0
27605,27605,27605,2018-04-25 00:49:50.790,-73.7337,6.5013,-1,13.9,-13.9
27606,27606,27606,2018-04-25 00:49:50.810,-73.7421,6.5009,-1,5.4,-5.4
27607,27607,27607,2018-04-25 00:49:50.890,-73.7306,6.5008,-1,51.9,-51.9
27608,27608,27608,2018-04-25 00:49:50.950,-73.7341,6.5003,-1,5.4,-5.4
27609,27609,27609,2018-04-25 00:49:50.973,-73.731,6.4994,-1,10.4,-10.4
27610,27610,27610,2018-04-25 00:49:50.980,-73.7335,6.4991,-1,5.4,-5.4
27611,27611,27611,2018-04-25 00:49:51.003,-73.7296,6.4998,-1,17.8,-17.8
27612,27612,27612,2018-04-25 00:49:51.053,-73.7333,6.499,-1,5.3,-5.3
27613,27613,27613,2018-04-25 00:49:51.093,-73.7329,6.5006,-1,19.9,-19.9
27614,27614,27614,2018-04-25 00:49:51.120,-73.7303,6.5001,-1,16.0,-16.0
27615,27615,27615,2018-04-25 00:49:51.157,-73.7301,6.5006,-1,8.2,-8.2
27616,27616,27616,2018-04-25 00:49:51.370,-73.7554,6.498,-1,6.8,-6.8
27617,27617,27617,2018-04-25 00:49:51.470,-73.7301,6.4995,-1,22.2,-22.2
27618,27618,27618,2018-04-25 00:49:51.540,-73.732,6.5002,-1,8.7,-8.7
27619,27619,27619,2018-04-25 00:49:51.617,-73.7303,6.4992,-1,24.6,-24.6
27620,27620,27620,2018-04-25 00:49:51.697,-73.7298,6.4998,-1,27.5,-27.5
27621,27621,27621,2018-04-25 00:49:51.747,-73.7333,6.5,-1,7.7,-7.7
27622,27622,27622,2018-04-25 00:49:51.923,-73.7294,6.5015,-1,25.7,-25.7
27623,27623,27623,2018-04-25 00:49:51.927,-73.7001,6.5367,1,10.8,10.8
27624,27624,27624,2018-04-25 00:49:51.990,-73.7335,6.5011,-1,9.2,-9.2
27625,27625,27625,2018-04-25 00:49:55.257,-73.7162,6.5008,-1,5.0,-5.0
27626,27626,27626,2018-04-25 00:49:56.637,-73.6303,6.6068,-1,5.4,-5.4
27627,27627,27627,2018-04-25 00:49:57.297,-74.2098,6.378,-1,9.9,-9.9
27628,27628,27628,2018-04-25 00:49:57.317,-74.1655,6.3574,1,5.3,5.3
27629,27629,27629,2018-04-25 00:49:59.637,-73.7084,6.5362,-1,22.2,-22.2
27630,27630,27630,2018-04-25 00:49:59.693,-73.6854,6.5226,-1,17.6,-17.6
27631,27631,27631,2018-04-25 00:49:59.743,-73.7216,6.5325,-1,22.7,-22.7
27632,27632,27632,2018-04-25 00:49:59.813,-73.6947,6.5473,1,9.2,9.2
27633,27633,27633,2018-04-25 00:49:59.817,-73.6858,6.5233,-1,13.9,-13.9
27634,27634,27634,2018-04-25 00:49:59.913,-73.6843,6.5233,-1,42.0,-42.0
27635,27635,27635,2018-04-25 00:49:59.917,-73.7061,6.5449,-1,5.4,-5.4
27636,27636,27636,2018-04-25 00:49:59.963,-73.6857,6.5223,-1,11.4,-11.4
27637,27637,27637,2018-04-25 00:49:59.997,-73.761,6.5287,-1,6.7,-6.7
27638,27638,27638,2018-04-25 00:50:02.380,-73.7096,6.4881,-1,5.8,-5.8
27639,27639,27639,2018-04-25 00:50:02.460,-73.7305,6.5103,-1,9.5,-9.5
27640,27640,27640,2018-04-25 00:50:02.553,-73.7333,6.5008,1,3.5,3.5
27641,27641,27641,2018-04-25 00:50:05.923,-73.6278,6.6158,-1,7.6,-7.6
27642,27642,27642,2018-04-25 00:50:07.500,-73.9468,6.419,1,6.1,6.1
27643,27643,27643,2018-04-25 00:50:07.587,-73.9323,6.4307,-1,7.5,-7.5
27644,27644,27644,2018-04-25 00:50:07.847,-73.9541,6.434,1,6.2,6.2
27645,27645,27645,2018-04-25 00:50:07.937,-74.162,6.5824,1,7.2,7.2
27646,27646,27646,2018-04-25 00:50:07.940,-73.9391,6.4161,1,8.4,8.4
27647,27647,27647,2018-04-25 00:50:09.363,-74.2237,7.0088,-1,5.6,-5.6
27648,27648,27648,2018-04-25 00:50:09.843,-73.6923,6.4256,-1,7.3,-7.3
27649,27649,27649,2018-04-25 00:50:10.253,-74.3215,6.5387,1,3.6,3.6
27650,27650,27650,2018-04-25 00:50:10.773,-74.2857,6.5271,-1,5.4,-5.4
27651,27651,27651,2018-04-25 00:50:13.717,-73.6697,6.5195,1,4.7,4.7
27652,27652,27652,2018-04-25 00:50:19.067,-73.6393,6.6109,-1,7.5,-7.5
27653,27653,27653,2018-04-25 00:50:19.443,-73.7311,6.4937,1,5.3,5.3
27654,27654,27654,2018-04-25 00:50:22.133,-73.6698,6.5722,-1,8.3,-8.3
27655,27655,27655,2018-04-25 00:50:24.347,-73.7502,6.5245,1,4.3,4.3
27656,27656,27656,2018-04-25 00:50:24.447,-73.7394,6.5142,-1,9.6,-9.6
27657,27657,27657,2018-04-25 00:50:28.257,-73.7014,6.5325,-1,6.5,-6.5
27658,27658,27658,2018-04-25 00:50:29.750,-73.7023,6.4951,-1,50.4,-50.4
27659,27659,27659,2018-04-25 00:50:34.090,-73.6512,6.5833,-1,9.7,-9.7
27660,27660,27660,2018-04-25 00:50:34.343,-73.6478,6.6057,-1,5.8,-5.8
27661,27661,27661,2018-04-25 00:50:38.680,-74.1653,6.3553,1,6.3,6.3
27662,27662,27662,2018-04-25 00:50:38.993,-73.7533,6.5252,-1,5.9,-5.9
27663,27663,27663,2018-04-25 00:50:39.190,-73.7216,6.5174,-1,9.0,-9.0
27664,27664,27664,2018-04-25 00:50:44.223,-73.7588,6.5455,1,6.3,6.3
27665,27665,27665,2018-04-25 00:50:44.477,-73.7546,6.5264,-1,5.2,-5.2
27666,27666,27666,2018-04-25 00:50:46.983,-73.6738,6.4549,-1,5.4,-5.4
27667,27667,27667,2018-04-25 00:50:48.383,-73.7659,6.4644,-1,5.4,-5.4
27668,27668,27668,2018-04-25 00:50:49.960,-73.7928,6.4873,1,6.4,6.4
27669,27669,27669,2018-04-25 00:50:49.987,-73.8043,6.4843,-1,16.6,-16.6
27670,27670,27670,2018-04-25 00:50:50.027,-73.8247,6.4798,-1,11.3,-11.3
27671,27671,27671,2018-04-25 00:50:50.093,-73.7926,6.4913,-1,30.2,-30.2
27672,27672,27672,2018-04-25 00:50:50.157,-73.7971,6.4859,-1,28.3,-28.3
27673,27673,27673,2018-04-25 00:50:50.220,-73.797,6.4842,-1,17.8,-17.8
27674,27674,27674,2018-04-25 00:50:50.397,-73.797,6.485,-1,66.8,-66.8
27675,27675,27675,2018-04-25 00:50:50.533,-73.7973,6.4853,-1,41.2,-41.2
27676,27676,27676,2018-04-25 00:50:50.600,-73.7985,6.4839,-1,6.0,-6.0
27677,27677,27677,2018-04-25 00:50:50.723,-73.797,6.4847,-1,27.1,-27.1
27678,27678,27678,2018-04-25 00:50:50.887,-73.7967,6.4852,-1,29.1,-29.1
27679,27679,27679,2018-04-25 00:50:50.973,-73.7964,6.4843,-1,9.0,-9.0
27680,27680,27680,2018-04-25 00:50:50.977,-73.9219,6.5364,-1,5.2,-5.2
27681,27681,27681,2018-04-25 00:50:51.080,-73.7995,6.4843,-1,5.3,-5.3
27682,27682,27682,2018-04-25 00:50:51.123,-73.7982,6.4836,-1,16.2,-16.2
27683,27683,27683,2018-04-25 00:50:51.203,-73.7988,6.4856,-1,11.3,-11.3
27684,27684,27684,2018-04-25 00:50:55.037,-73.706,6.5489,-1,33.2,-33.2
27685,27685,27685,2018-04-25 00:50:55.080,-73.7062,6.5497,-1,37.3,-37.3
27686,27686,27686,2018-04-25 00:50:55.147,-73.6758,6.5374,-1,27.1,-27.1
27687,27687,27687,2018-04-25 00:50:55.247,-73.6753,6.538,-1,42.7,-42.7
27688,27688,27688,2018-04-25 00:51:03.663,-73.7025,6.5445,-1,4.7,-4.7
27689,27689,27689,2018-04-25 00:51:04.057,-73.8889,6.3745,1,6.9,6.9
27690,27690,27690,2018-04-25 00:51:04.310,-73.8998,6.3855,1,14.0,14.0
27691,27691,27691,2018-04-25 00:51:04.547,-73.9492,6.4341,1,5.5,5.5
27692,27692,27692,2018-04-25 00:51:05.707,-73.7195,6.4953,-1,5.5,-5.5
27693,27693,27693,2018-04-25 00:51:07.003,-73.7071,6.4864,-1,5.3,-5.3
27694,27694,27694,2018-04-25 00:51:07.300,-73.7055,6.4918,-1,5.6,-5.6
27695,27695,27695,2018-04-25 00:51:09.950,-73.7024,6.4956,-1,49.4,-49.4
27696,27696,27696,2018-04-25 00:51:09.987,-73.7008,6.5039,-1,6.8,-6.8
